time,user,uid,comment
16:50:44,Unknown,Unknown,Kemon.assen
16:50:44,Unknown,Unknown,23567
16:50:44,Unknown,Unknown,amak kisu dioomand daya jabe
16:50:44,Unknown,Unknown,ভাই এত চেষ্টা করে গিফট পাইনা আপনি তো মেসেজের রিপ্লাই
16:50:44,Unknown,Unknown,এতক্ষণ ধরে বললাম কিছু তো
16:50:44,Unknown,Unknown,Gggg
16:50:44,Unknown,Unknown,কেমন আছেন ভাই প্রেম করবেন
16:50:44,Unknown,Unknown,Yes
16:50:44,Unknown,Unknown,ও ভাই
16:50:44,Unknown,Unknown,Mathri
16:50:47,Unknown,Unknown,Kmon asen vaiya
16:51:03,Unknown,Unknown,Vai
16:51:03,Unknown,Unknown,Ghg
16:51:17,Unknown,Unknown,Vai tora vua
16:51:18,Unknown,Unknown,Milon
16:51:22,Unknown,Unknown,I love you
16:51:27,Unknown,Unknown,ভাই আমি আপনাকে কোন কিছু পাই না ভাই
16:51:28,Unknown,Unknown,Vua
16:51:28,Unknown,Unknown,গিফট দেন
16:51:35,Unknown,Unknown,1111
16:51:35,Unknown,Unknown,11111
16:51:45,Unknown,Unknown,111
16:51:45,Unknown,Unknown,আমার নাম আবির
16:51:57,Unknown,Unknown,Love you vaiya
16:51:57,Unknown,Unknown,হাই
16:51:57,Unknown,Unknown,14214905029
16:51:59,Unknown,Unknown,222222222222222222
16:51:59,Unknown,Unknown,2222
16:52:06,Unknown,Unknown,কি খবর ভালো আছো তো
16:52:09,Unknown,Unknown,ভাই
16:52:10,Unknown,Unknown,আবির
16:52:10,Unknown,Unknown,xxxxxxxxxxxxxxxx
16:52:20,Unknown,Unknown,7846756098
16:52:21,Unknown,Unknown,জাহিদ ভাই কি খবর
16:52:30,Unknown,Unknown,3333333333333333
16:52:33,Unknown,Unknown,222
16:52:36,Unknown,Unknown,ভাইয়া গিফট করেন 7169075690
16:52:36,Unknown,Unknown,3333
16:52:44,Unknown,Unknown,333333
16:52:45,Unknown,Unknown,এটা আমার নাম্বার 01770052985
16:52:47,Unknown,Unknown,33333
16:52:48,Unknown,Unknown,জাহিদ ভাই কি খবর ভালো
16:52:48,Unknown,Unknown,একটা গিফট পাইনা
16:52:48,Unknown,Unknown,7846756078
16:52:52,Unknown,Unknown,ভাইয়া আপনার গ্রুপে আমি কোনদিনও যাইতে পারি নাই
16:52:54,Unknown,Unknown,4444444444
16:52:55,Unknown,Unknown,একটা কি একটু পাই না
16:52:57,Unknown,Unknown,11279490610
16:52:57,Unknown,Unknown,Hello
16:53:00,Unknown,Unknown,Ddr5
